quizzes,solutions
4.30021E+78,8.64371E+80
4.01001E+79,3.46179E+80
6.0012E+80,6.95127E+80
4.972E+80,4.97258E+80
5.91031E+78,4.65912E+80
1.00005E+80,1.94685E+80
9.06543E+78,2.89765E+80
6.57702E+74,8.94232E+80
5.0307E+80,5.63472E+80
6.07209E+79,1.63726E+80
4.083E+78,9.74184E+80
6.02807E+76,4.31567E+80
4.3E+78,2.54368E+80
8.0701E+78,9.58274E+80
6.537E+79,8.65379E+80
5.71033E+78,8.65714E+80
2.00005E+80,2.68495E+80
4.08005E+79,9.47813E+80
5.0083E+79,6.52484E+80
7.00084E+80,7.12984E+80
6.705E+79,9.67254E+80
1.40903E+78,2.5148E+80
2.0603E+80,2.56734E+80
4.50218E+78,9.64532E+80
1.40061E+80,1.4257E+80
5.9E+80,5.98326E+80
1E+80,1.57468E+80
9.00084E+80,9.27384E+80
3.08056E+80,3.98256E+80
1.703E+80,1.76328E+80
4.03002E+78,9.54739E+80
8.32001E+79,1.83248E+80
8.03E+80,8.63915E+80
7.04901E+79,2.76495E+80
8.3004E+80,8.31246E+80
6.025E+79,1.68257E+80
5.04007E+79,7.51433E+80
1.0092E+79,3.18693E+80
7.80106E+79,5.78214E+80
5.601E+79,9.56418E+80
1.84701E+75,6.32952E+80
2.0504E+80,2.85747E+80
1.038E+80,1.23898E+80
8.5042E+80,8.51429E+80
6.149E+79,7.61496E+80
6.089E+80,6.38917E+80
7.009E+77,5.38743E+80
6.80905E+80,6.87935E+80
6.00837E+80,6.54837E+80
